Taxon	MiS101	MiS110	MiS111	MiS118	MiS119
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.000323897130271	0.000156543519098	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000249547694803	0.000183755972069	0.000259117704217	0.000156543519098	0.000711631216889
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.573772537276	0.888031361019	0.685236768802	0.388384470883	0.901557681664
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.000249547694803	0.000122503981379	0.00252639761612	0.000704445835942	0.00015814027042
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.000499095389606	6.12519906897e-05	0.00544147178856	0.00180025046963	0.00023721040563
k__Bacteria;p__Firmicutes;c__Bacilli	0.00137251232142	0.000735023888276	0.00421066269353	0.00289605510332	0.0146279750138
k__Bacteria;p__Firmicutes;c__Clostridia	0.415808846466	0.104924660051	0.286584180864	0.253835316218	0.0729817347988
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.000436708465906	0.000673771897587	0.000712573686597	7.82717595492e-05	0.00434885743655
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.000249547694803	0.000367511944138	0.000971691390814	0.0	7.90701352099e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.00224592925323	0.00330760749724	0.00602448662305	0.000313087038197	0.00324187554361
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00255786387173	0.000428763934828	0.0038219861372	0.00626174076393	0.000632561081679
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.000124773847402	0.000183755972069	6.47794260543e-05	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	0.00180922078732	0.000551267916207	0.00362764785904	7.82717595492e-05	0.00102791175773
k__Bacteria;p__Tenericutes;c__Mollicutes	0.000623869237008	0.000428763934828	0.000194338278163	7.82717595492e-05	0.00039535067605
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	0.345256731371	0.0
